url,score,verdict,signals,rf_score,xgb_score,vt_malicious,nlp_score,cached,error
http://000ogwl.wcomhost.com/fasc/admin/customer_center/customer-IDPP00C963/myaccount/signin,100.0,BLOCK,No HTTPS | VirusTotal: 14/92 engines flagged,95.5,99.8,14,44.4,False,
http://000p7l3.wcomhost.com/Ameli-Assurance/remboursement/login/iframe-page2.html,100.0,BLOCK,No HTTPS | VirusTotal: 13/92 engines flagged,93.0,98.7,13,44.4,False,
http://000ogwl.wcomhost.com/img/imager/png/customer_center/customer-IDPP00C378/myaccount/signin,100.0,BLOCK,No HTTPS | VirusTotal: 14/92 engines flagged,95.5,99.8,14,44.4,False,
http://000p7l3.wcomhost.com/Ameli-Assurance/remboursement/login/iframe-page3.html,100.0,BLOCK,No HTTPS | VirusTotal: 13/92 engines flagged,93.0,98.7,13,44.4,False,
http://000ogxd.wcomhost.com/loggss/customer_center/customer-IDPP00C899/myaccount/signin,100.0,BLOCK,No HTTPS | VirusTotal: 13/92 engines flagged,95.0,99.8,13,44.4,False,
http://000ogxd.wcomhost.com/logs/customer_center/customer-IDPP00C557/myaccount/signin,100.0,BLOCK,No HTTPS | VirusTotal: 13/92 engines flagged,95.0,99.8,13,44.4,False,
http://000ogxd.wcomhost.com/logssss/customer_center/customer-IDPP00C196/myaccount/signin,100.0,BLOCK,No HTTPS | VirusTotal: 13/92 engines flagged,95.0,99.8,13,44.4,False,
http://000ogxd.wcomhost.com/loogs/customer_center/customer-IDPP00C844/myaccount/signin,100.0,BLOCK,No HTTPS | VirusTotal: 13/92 engines flagged,95.0,99.8,13,44.4,False,
http://000ogxd.wcomhost.com/mass/customer_center/customer-IDPP00C384/myaccount/success,100.0,BLOCK,No HTTPS | VirusTotal: 13/92 engines flagged,94.5,99.8,13,44.4,False,
http://000nt6r.wcomhost.com/suspension/home/check/valid/access,100.0,BLOCK,No HTTPS | VirusTotal: 14/92 engines flagged,93.0,99.7,14,44.4,False,
http://000p8my.wcomhost.com/MobileFree/moncompte/609ece9f991062e8013222f292181b43,99.0,BLOCK,No HTTPS | VirusTotal: 14/92 engines flagged,90.0,98.8,14,44.4,False,
http://000p8my.wcomhost.com/MobileFree/moncompte/0fb86c687f6cb25cbf1d9c191a2a123d,98.7,BLOCK,No HTTPS | VirusTotal: 13/92 engines flagged,90.0,98.8,13,44.4,False,
http://000p8my.wcomhost.com/MobileFree/moncompte/725244d964b68f9fd56edc530811d354,98.7,BLOCK,No HTTPS | VirusTotal: 13/92 engines flagged,90.0,98.8,13,44.4,False,
http://000p8my.wcomhost.com/MobileFree/moncompte/1e7fa6e7d7061724890964baebdc21ca,98.3,BLOCK,No HTTPS | VirusTotal: 12/92 engines flagged,90.0,98.8,12,44.4,False,
http://000l34e.wcomhost.com/?fbclid=IwAR0bTLKRzZoi5OU7l2Jy29nIPaepITsvtkgGMXlTLwh8x-wn6Yj6mmFqRRU,96.1,BLOCK,No HTTPS | VirusTotal: 13/92 engines flagged,84.5,99.2,13,44.4,False,
http://000m8ih.wcomhost.com/papa/98ed0/index_2.html,94.9,BLOCK,No HTTPS | VirusTotal: 15/92 engines flagged,82.5,97.6,15,44.4,False,
http://000m8ih.wcomhost.com/papa/b6f27/index_2.html,94.9,BLOCK,No HTTPS | VirusTotal: 15/92 engines flagged,82.5,97.6,15,44.4,False,
http://000m8ih.wcomhost.com/papa/c12e7/index_2.html,94.9,BLOCK,No HTTPS | VirusTotal: 15/92 engines flagged,82.5,97.6,15,44.4,False,
