url,score,verdict,detected,signals,cached,error
http://162.14.114.202:8080/auth.php?mail=redacted@redacted.invalid,87.7,BLOCK,yes,"IP address as domain, @ symbol in URL, No HTTPS",False,
http://1636365.com/assets/40vueuse.4080c24a.js/assets/@happys.755bd3e6.js/assets/@element-plus.48bbde93.js/assets,98.2,BLOCK,yes,"@ symbol in URL, No HTTPS",False,
http://1636365.com/assets/40vueuse.4080c24a.js/assets/@happys.755bd3e6.js/assets/assets/@element-plus.48bbde93.js/assets,98.2,BLOCK,yes,"@ symbol in URL, No HTTPS",False,
http://1636365.com/assets/40vueuse.4080c24a.js/assets/@happys.755bd3e6.js/assets/@ctrl.b082b0c1.js/assets,97.9,BLOCK,yes,"@ symbol in URL, No HTTPS",False,
http://103.155.93.105,88.1,BLOCK,yes,"IP address as domain, No HTTPS",False,
http://103.155.93.209,88.1,BLOCK,yes,"IP address as domain, No HTTPS",False,
http://103.155.93.154,88.1,BLOCK,yes,"IP address as domain, No HTTPS",False,
http://045478e77a9c38681fbd0d0fa121324ayu.pages.dev,87.5,BLOCK,yes,No HTTPS,False,
http://1336ooo0.com,86.2,BLOCK,yes,No HTTPS,False,
http://1636365.com/assets/40vueuse.4080c24a.js/assets/@happys.755bd3e6.js/assets/@popperjs.36402333.js/assets/@intlify.595663c5.js,97.7,BLOCK,yes,"@ symbol in URL, No HTTPS",False,
http://045a3c0.wcomhost.com/Ameli-assurance/remboursement/login,95.7,BLOCK,yes,No HTTPS,False,
http://045a3c0.wcomhost.com/Ameli-assurance/remboursement/login/iframe-page1.html,95.8,BLOCK,yes,No HTTPS,False,
http://0efbd9f.wcomhost.com/de/banking-postbank/login/privatkunden/DE/653e956b88b5b4d51a33,97.1,BLOCK,yes,No HTTPS,False,
http://103-219-154-102.cprapid.com,87.2,BLOCK,yes,No HTTPS,False,
http://0efbd9f.wcomhost.com/de/banking-postbank/login/privatkunden/DE/6363bc9ce46014e6323a/clients/pass.php,97.4,BLOCK,yes,No HTTPS,False,
http://0efbd9f.wcomhost.com/de/banking-postbank/login/privatkunden/DE/6363bc9ce46014e6323a/clients,97.4,BLOCK,yes,No HTTPS,False,
http://0efbd9f.wcomhost.com/de/banking-postbank/login/privatkunden/DE/653e956b88b5b4d51a33/clients,97.4,BLOCK,yes,No HTTPS,False,
http://1336op7e.com,85.3,BLOCK,yes,No HTTPS,False,
http://132878326-129611766899999919.preview.editmysite.com/uploads/1/3/2/8/132878326/pnc-online-banking-verification-2020__2_.html,89.9,BLOCK,yes,No HTTPS,False,
http://045a3c0.wcomhost.com/Ameli-assurance/remboursement/login/iframe-page2.html,95.8,BLOCK,yes,No HTTPS,False,
http://045a3c0.wcomhost.com/Ameli-assurance/remboursement/login/iframe-page3.html,95.8,BLOCK,yes,No HTTPS,False,
http://147.50.132.185/bty/i.php,-1,RATE_LIMITED,error,,False,rate limited
http://103.30.211.132,-1,RATE_LIMITED,error,,False,rate limited
http://0efbd9f.wcomhost.com/de/banking-postbank/login/privatkunden/DE/653e956b88b5b4d51a33/clients/pass.php,-1,RATE_LIMITED,error,,False,rate limited
http://162.144.35.46/~gloriouslightipq/xx/090fd,-1,RATE_LIMITED,error,,False,rate limited
http://1636365.com/assets/40vueuse.4080c24a.js/assets/@intlify.595663c5.js/assets/assets/@intlify.595663c5.js/assets,-1,RATE_LIMITED,error,,False,rate limited
http://045b66e.wcomhost.com/actualites/Ameliassurance-sms/remboursement/login,-1,RATE_LIMITED,error,,False,rate limited
http://0efbd9f.wcomhost.com/de/banking-postbank/login/privatkunden/DE/67c3192f3e4c20d6e39f,-1,RATE_LIMITED,error,,False,rate limited
http://103.360-insurance.com,-1,RATE_LIMITED,error,,False,rate limited
http://133881qjghm0.fastfiles.co/ae/Yi5hYnJhaGFtQGNvbXBhbnl3cmVuY2guY29t,-1,RATE_LIMITED,error,,False,rate limited
http://147.50.132.185/VE/q.php,-1,RATE_LIMITED,error,,False,rate limited
http://133.125.33.221/wp-content/plugins/rmmpxexnnt/citionline/citi/log1.php?id=2f53bf480a72558925bf901657a979192f53bf480a72558925bf901657a97919&session=2f53bf480a72558925bf901657a979192f53bf480a72558925bf901657a97919,96.7,BLOCK,yes,"IP address as domain, No HTTPS",False,
http://162.144.37.109/~orangemeipq/xx/06e92,-1,RATE_LIMITED,error,,False,rate limited
http://162.144.119.185/~o8osongipq/zz/813c2f26440a3511d41a5862c06e7d37,89.5,BLOCK,yes,"IP address as domain, No HTTPS",False,
http://133.125.33.221/wp-content/plugins/rmmpxexnnt/citionline/citi/login.php?id=682c559213ca71dbc9dfc8a654f5a4d0682c559213ca71dbc9dfc8a654f5a4d0&session=682c559213ca71dbc9dfc8a654f5a4d0682c559213ca71dbc9dfc8a654f5a4d0,96.7,BLOCK,yes,"IP address as domain, No HTTPS",False,
http://147.45.44.131/infopage/vtqrai.exe,84.4,BLOCK,yes,"IP address as domain, No HTTPS",False,
http://162.144.119.185/~o8osongipq/zz,85.2,BLOCK,yes,"IP address as domain, No HTTPS",False,
http://147.45.44.131/infopage/resafh7.exe,84.7,BLOCK,yes,"IP address as domain, No HTTPS",False,
http://147.45.44.131/infopage/vgqvs.bat,84.7,BLOCK,yes,"IP address as domain, No HTTPS",False,
http://162.144.35.46/~daybydayipq/xx/5b2d4,88.4,BLOCK,yes,"IP address as domain, No HTTPS",False,
http://147.50.132.185/BB/t.php,84.4,BLOCK,yes,"IP address as domain, No HTTPS",False,
http://1636365.com/assets/40vueuse.4080c24a.js/assets/@intlify.595663c5.js/assets/@vue.8c84d7fe.js/assets,-1,RATE_LIMITED,error,,False,rate limited
http://0efbd9f.wcomhost.com/de/banking-postbank/login/privatkunden/DE/67c3192f3e4c20d6e39f/clients,-1,RATE_LIMITED,error,,False,rate limited
http://045b66e.wcomhost.com/actualites/Ameliassurance-sms/remboursement/login/iframe-page1.html,-1,RATE_LIMITED,error,,False,rate limited
http://103.40.8.188/ap/signin?openid.pape.max_auth_age=0&openid.return_to=https://www.amazon.co.jp/?ref_=nav_em_hd_re_signin&openid.identity=http://specs.openid.net/auth/2.0/identifier_select&openid.assoc_handle=jpflex&openid.mode=checkid_setup&key=%25%7BRECEIVER_ADDRESS%7D&openid.claimed_id=%25%7BRAND_TEXT_0%7D&ref_=nav_em_hd_clc_signin,-1,RATE_LIMITED,error,,False,rate limited
http://134.122.167.40,-1,RATE_LIMITED,error,,False,rate limited
http://1475fa76-32fc-4444-b9a7-9e80a0360136.usrfiles.com/html/1411d2_20babe85331bcec3acca549e98d5c9f6.html,-1,RATE_LIMITED,error,,False,rate limited
http://162.144.37.124,-1,RATE_LIMITED,error,,False,rate limited
http://1636365.com/assets/40vueuse.4080c24a.js/assets/@popperjs.36402333.js/assets/@emotion.069aa8d1.js/assets,-1,RATE_LIMITED,error,,False,rate limited
http://045b66e.wcomhost.com/actualites/Ameliassurance-sms/remboursement/login/iframe-page2.html,-1,RATE_LIMITED,error,,False,rate limited
http://0efbd9f.wcomhost.com/de/banking-postbank/login/privatkunden/DE/67c3192f3e4c20d6e39f/clients/pass.php,-1,RATE_LIMITED,error,,False,rate limited
http://162.144.37.124/Finance/tang,-1,RATE_LIMITED,error,,False,rate limited
http://147.78.65.253/Okal/40e6da7ead7c11a38f8913c79b0a70dd,-1,RATE_LIMITED,error,,False,rate limited
http://103.40.8.70/ap/signin?openid.pape.max_auth_age=0&openid.return_to=https://www.amazon.co.jp/?ref_=nav_em_hd_re_signin&openid.identity=http://specs.openid.net/auth/2.0/identifier_select&openid.assoc_handle=jpflex&openid.mode=checkid_setup&key=a@b.c&openid.claimed_id=http://specs.openid.net/auth/2.0/identifier_select&openid.ns=http://specs.openid.net/auth/2.0&&ref_=nav_em_hd_clc_signin,-1,RATE_LIMITED,error,,False,rate limited
http://134.122.177.20/ap/signin?key=redacted@redacted.invalid,-1,RATE_LIMITED,error,,False,rate limited
http://1636365.com/assets/40vueuse.4080c24a.js/assets/@popperjs.36402333.js/assets/@floating-ui.4bc9703a.js/assets,-1,RATE_LIMITED,error,,False,rate limited
http://0efbd9f.wcomhost.com/de/banking-postbank/login/privatkunden/DE/6829e89470ec9a024a6c,-1,RATE_LIMITED,error,,False,rate limited
http://045b66e.wcomhost.com/actualites/Ameliassurance-sms/remboursement/login/iframe-page3.html,-1,RATE_LIMITED,error,,False,rate limited
http://103531-101802.weeblysite.com,-1,RATE_LIMITED,error,,False,rate limited
http://1478c237.lopdl7d.cn/amagc,-1,RATE_LIMITED,error,,False,rate limited
http://134.122.177.21/signin,-1,RATE_LIMITED,error,,False,rate limited
http://162.144.37.124/Finance/tang/antibot.php,-1,RATE_LIMITED,error,,False,rate limited
http://1636365.com/assets/40vueuse.4080c24a.js/assets/@popperjs.36402333.js/assets/@intlify.595663c5.js/assets,-1,RATE_LIMITED,error,,False,rate limited
